seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081704	18081908	205	*	X001	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	46859840	46860037	198	*	X009	2166	46859939	46879520	19582	+	0	overlapStart	0	FAAH
chr2	86667679	86667702	24	*	X032	55818	86668271	86719839	51569	+	568	upstream	568	KDM3A
chr2	234776911	234777038	128	*	X045	151507	234774090	234777055	2966	-	0	inside	16	MSL3P1
chr2	234777190	234777209	20	*	X046	151507	234774090	234777055	2966	-	134	upstream	134	MSL3P1
chr3	3841113	3841364	252	*	X049	57633	3841121	3889387	48267	+	0	overlapStart	0	LRRN1
chr5	114880931	114881025	95	*	X075	56929	114856608	114880591	23984	-	339	upstream	339	FEM1C
chr5	114881040	114881061	22	*	X076	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	149829762	149829787	26	*	X077	6208	149823792	149829319	5528	-	442	upstream	442	RPS14
chr5	149829836	149829846	11	*	X078	6208	149823792	149829319	5528	-	516	upstream	516	RPS14
chr5	179499424	179499515	92	*	X083	55819	179382474	179499109	116636	-	314	upstream	314	RNF130
chr6	11044842	11044935	94	*	X084	54898	10980993	11044624	63632	-	217	upstream	217	ELOVL2
chr6	11044954	11044975	22	*	X085	54898	10980993	11044624	63632	-	329	upstream	329	ELOVL2
chr7	56516139	56516160	22	*	X106	650226	56491397	56516068	24672	-	70	upstream	70	LOC650226
chr7	56516214	56516308	95	*	X107	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	156432583	156432598	16	*	X121	140545	156433353	156469820	36468	+	754	upstream	754	RNF32
chr7	156432639	156432658	20	*	X122	140545	156433353	156469820	36468	+	694	upstream	694	RNF32
chr9	37079360	37079399	40	*	X141	100506710	37079893	37090398	10506	+	493	upstream	493	EBLN3P
chr10	124714093	124714223	131	*	X162	80007	124690419	124713919	23501	-	173	upstream	173	C10orf88
chr10	127584938	127585353	416	*	X163	55760	127524909	127585027	60119	-	0	overlapStart	0	DHX32
chr10	127584938	127585353	416	*	X163	92565	127585108	127698161	113054	+	0	overlapStart	0	FANK1
chr16	30108252	30108424	173	*	X209	83719	30103635	30107537	3903	-	714	upstream	714	YPEL3
chr16	30108535	30108553	19	*	X210	83719	30103635	30107537	3903	-	997	upstream	997	YPEL3
chr16	30108589	30108599	11	*	X211	83719	30103635	30107537	3903	-	1051	upstream	1051	YPEL3
chr16	33963117	33963165	49	*	X212	649159	33961052	33962503	1452	-	613	upstream	613	LINC00273
chr17	72427038	72427220	183	*	X220	55890	72427667	72446720	19054	+	446	upstream	446	GPRC5C
chr17	72427481	72427538	58	*	X221	55890	72427667	72446720	19054	+	128	upstream	128	GPRC5C
chr17	72427862	72427907	46	*	X222	55890	72427667	72446720	19054	+	0	inside	194	GPRC5C
chr17	72427931	72428111	181	*	X223	55890	72427667	72446720	19054	+	0	inside	263	GPRC5C
chr19	58545134	58545270	137	*	X267	284312	58545434	58565999	20566	+	163	upstream	163	ZSCAN1
chr19	58740245	58740426	182	*	X269	27300	58740070	58775008	34939	+	0	inside	174	ZNF544
chr20	26188851	26189341	491	*	X270	724033	26188822	26188914	93	-	0	overlapStart	0	MIR663A
chr20	26189909	26190120	212	*	X271	284801	26167655	26189869	22215	-	39	upstream	39	MIR663AHG
chr20	26189909	26190120	212	*	X271	724033	26188822	26188914	93	-	994	upstream	994	MIR663A
chr21	9825410	9827604	2195	*	X280	100500815	9826203	9826263	61	+	0	includeFeature	0	NA
chr21	9825410	9827604	2195	*	X280	100500862	9825832	9826011	180	+	0	includeFeature	0	MIR3648-1
